id,season,week,homeTeam,awayTeam,homePoints,awayPoints,venueId,home_win,home_elo,away_elo,elo_diff,score_diff,is_neutral
400548017,2014,2,Mississippi State,UAB,47.0,34.0,3693.0,1,1889.0,1347.0,542.0,13.0,0
400548099,2014,2,Massachusetts,Colorado,38.0,41.0,3738.0,0,1110.0,1286.0,-176.0,-3.0,0
400548182,2014,2,Utah,Fresno State,59.0,27.0,587.0,1,1655.0,1331.0,324.0,32.0,0
400547654,2014,2,South Florida,Maryland,17.0,24.0,3886.0,0,1254.0,1493.0,-239.0,-7.0,0
400547976,2014,2,Northwestern,Northern Illinois,15.0,23.0,3911.0,0,1473.0,1519.0,-46.0,-8.0,0
400548260,2014,2,Stanford,USC,10.0,13.0,3940.0,0,1871.0,1870.0,1.0,-3.0,0
400547961,2014,2,Minnesota,Middle Tennessee,35.0,24.0,3953.0,1,1700.0,1312.0,388.0,11.0,0
400548103,2014,2,Kentucky,Ohio,20.0,3.0,3683.0,1,1351.0,1231.0,120.0,17.0,0
400547929,2014,2,Iowa,Ball State,17.0,13.0,3793.0,1,1599.0,1415.0,184.0,4.0,0
400547656,2014,2,Tulane,Georgia Tech,21.0,38.0,4729.0,0,1217.0,1921.0,-704.0,-17.0,0
400548101,2014,2,Florida,Eastern Michigan,65.0,0.0,3634.0,1,1741.0,791.0,950.0,65.0,0
400548395,2014,2,Vanderbilt,Ole Miss,3.0,41.0,3810.0,0,1298.0,1780.0,-482.0,-38.0,0
400547803,2014,2,NC State,Old Dominion,46.0,34.0,3670.0,1,1564.0,1192.0,372.0,12.0,0
400547953,2014,2,Oregon,Michigan State,46.0,27.0,3626.0,1,2154.0,2025.0,129.0,19.0,0
400548185,2014,2,New Mexico,Arizona State,23.0,58.0,3971.0,0,1206.0,1775.0,-569.0,-35.0,0
400547752,2014,2,Troy,Duke,17.0,34.0,3975.0,0,1065.0,1608.0,-543.0,-17.0,0
400548014,2014,2,Louisiana,Louisiana Tech,20.0,48.0,3666.0,0,1430.0,1802.0,-372.0,-28.0,0
400547650,2014,2,South Carolina,East Carolina,33.0,23.0,3994.0,1,1719.0,1641.0,78.0,10.0,0
400548186,2014,2,Auburn,San José State,59.0,13.0,3785.0,1,1848.0,1173.0,675.0,46.0,0
400548411,2014,2,UL Monroe,Idaho,38.0,31.0,3817.0,1,1218.0,1001.0,217.0,7.0,0
400547846,2014,2,Texas,BYU,7.0,41.0,3910.0,0,1596.0,1603.0,-7.0,-34.0,0
400547944,2014,2,Notre Dame,Michigan,31.0,0.0,3855.0,1,1643.0,1579.0,64.0,31.0,0
400547796,2014,2,North Carolina,San Diego State,31.0,27.0,3787.0,1,1466.0,1509.0,-43.0,4.0,0
400547826,2014,2,Ohio State,Virginia Tech,21.0,35.0,3861.0,0,2299.0,1611.0,688.0,-14.0,0
400547652,2014,2,UCLA,Memphis,42.0,35.0,1056.0,1,1785.0,1655.0,130.0,7.0,0
400548181,2014,2,Boise State,Colorado State,37.0,24.0,3653.0,1,1824.0,1552.0,272.0,13.0,0
400548180,2014,2,Wyoming,Air Force,17.0,13.0,3984.0,1,1191.0,1432.0,-241.0,4.0,0
400548183,2014,2,Hawai'i,Oregon State,30.0,38.0,3610.0,0,1271.0,1438.0,-167.0,-8.0,0
400547845,2014,2,UTEP,Texas Tech,26.0,30.0,3946.0,0,1288.0,1358.0,-70.0,-4.0,0
400548021,2014,3,North Texas,Louisiana Tech,21.0,42.0,3825.0,0,1248.0,1802.0,-554.0,-21.0,0
400547658,2014,3,BYU,Houston,33.0,25.0,3801.0,1,1603.0,1595.0,8.0,8.0,0
400547659,2014,3,Cincinnati,Toledo,58.0,34.0,3874.0,1,1625.0,1524.0,101.0,24.0,0
400548106,2014,3,Buffalo,Baylor,21.0,63.0,3965.0,0,1353.0,2061.0,-708.0,-42.0,0
400547809,2014,3,Florida International,Pittsburgh,25.0,42.0,218.0,0,1231.0,1547.0,-316.0,-17.0,0
400547849,2014,3,Maryland,West Virginia,37.0,40.0,3665.0,0,1493.0,1635.0,-142.0,-3.0,0
400548019,2014,3,Marshall,Ohio,44.0,14.0,3775.0,1,1874.0,1231.0,643.0,30.0,0
400547983,2014,3,Ohio State,Kent State,66.0,0.0,3861.0,1,2299.0,1159.0,1140.0,66.0,0
400547773,2014,3,Georgia Tech,Georgia Southern,42.0,38.0,721.0,1,1921.0,1486.0,435.0,4.0,0
400547816,2014,3,Central Michigan,Syracuse,3.0,40.0,3786.0,0,1375.0,1390.0,-15.0,-37.0,0
400547660,2014,3,Missouri,UCF,38.0,10.0,3838.0,1,1801.0,1689.0,112.0,28.0,0
400547661,2014,3,UConn,Boise State,21.0,38.0,3892.0,0,1139.0,1824.0,-685.0,-17.0,0
400547917,2014,3,Bowling Green,Indiana,45.0,42.0,3700.0,1,1319.0,1370.0,-51.0,3.0,0
400547662,2014,3,Virginia Tech,East Carolina,21.0,28.0,3799.0,0,1611.0,1641.0,-30.0,-7.0,0
400548109,2014,3,Vanderbilt,Massachusetts,34.0,31.0,3973.0,1,1298.0,1110.0,188.0,3.0,0
400547781,2014,3,Virginia,Louisville,23.0,21.0,3923.0,1,1491.0,1773.0,-282.0,2.0,0
400548193,2014,3,Oregon,Wyoming,48.0,14.0,3626.0,1,2154.0,1191.0,963.0,34.0,0
400548189,2014,3,Georgia State,Air Force,38.0,48.0,3495.0,0,888.0,1432.0,-544.0,-10.0,0
400548392,2014,3,South Carolina,Georgia,38.0,35.0,3994.0,1,1719.0,2034.0,-315.0,3.0,0
