year,team,conference,elo
2015,Memphis,American Athletic,1681
2015,Miami,ACC,1498
2015,Miami (OH),Mid-American,1042
2015,Michigan,Big Ten,1880
2015,Michigan State,Big Ten,1848
2015,Middle Tennessee,Conference USA,1521
2015,Minnesota,Big Ten,1591
2015,Mississippi State,SEC,1841
2015,Missouri,SEC,1557
2015,Navy,American Athletic,1739
2015,NC State,ACC,1609
2015,Nebraska,Big Ten,1702
2015,Nevada,Mountain West,1390
2015,New Mexico,Mountain West,1342
2015,New Mexico State,Sun Belt,936
2015,North Carolina,ACC,1830
2015,Northern Illinois,Mid-American,1433
2015,North Texas,Conference USA,1013
2015,Northwestern,Big Ten,1446
2015,Notre Dame,FBS Independents,1784
2015,Ohio,Mid-American,1335
2015,Ohio State,Big Ten,2120
2015,Oklahoma,Big 12,2078
2015,Oklahoma State,Big 12,1707
2015,Old Dominion,Conference USA,1105
2015,Ole Miss,SEC,1937
2015,Oregon,Pac-12,1793
2015,Oregon State,Pac-12,1146
2015,Penn State,Big Ten,1585
2015,Pittsburgh,ACC,1576
2015,Purdue,Big Ten,1218
2015,Rice,Conference USA,1131
2015,Rutgers,Big Ten,1308
2015,San Diego State,Mountain West,1806
2015,San José State,Mountain West,1324
2015,SMU,American Athletic,1036
2015,South Alabama,Sun Belt,1115
2015,South Carolina,SEC,1579
2015,Southern Miss,Conference USA,1686
2015,South Florida,American Athletic,1693
2015,Stanford,Pac-12,2014
2015,Syracuse,ACC,1371
2015,TCU,Big 12,1947
2015,Temple,American Athletic,1635
2015,Tennessee,SEC,1860
2015,Texas,Big 12,1532
2015,Texas A&M,SEC,1674
2015,Texas State,Sun Belt,1017
2015,Texas Tech,Big 12,1523
2015,Toledo,Mid-American,1730
2015,Troy,Sun Belt,1311
2015,Tulane,American Athletic,1058
2015,Tulsa,American Athletic,1332
2015,UCF,American Athletic,1033
2015,UCLA,Pac-12,1722
2015,UConn,American Athletic,1354
2015,UL Monroe,Sun Belt,956
2015,UNLV,Mountain West,1158
2015,USC,Pac-12,1794
2015,Utah,Pac-12,1764
2015,Utah State,Mountain West,1547
2015,UTEP,Conference USA,1071
2015,UTSA,Conference USA,1113
2015,Vanderbilt,SEC,1336
2015,Virginia,ACC,1441
2015,Virginia Tech,ACC,1643
2015,Wake Forest,ACC,1309
2015,Washington,Pac-12,1874
2015,Washington State,Pac-12,1574
2015,Western Kentucky,Conference USA,1871
2015,Western Michigan,Mid-American,1641
2015,West Virginia,Big 12,1764
2015,Wisconsin,Big Ten,1800
2015,Wyoming,Mountain West,1120
2016,Air Force,Mountain West,1593
2016,Akron,Mid-American,1214
2016,Alabama,SEC,2331
2016,App State,Sun Belt,1630
2016,Arizona,Pac-12,1243
2016,Arizona State,Pac-12,1366
2016,Arkansas,SEC,1614
2016,Arkansas State,Sun Belt,1567
2016,Army,FBS Independents,1354
2016,Auburn,SEC,1904
2016,Ball State,Mid-American,1230
2016,Baylor,Big 12,1607
2016,Boise State,Mountain West,1664
2016,Boston College,ACC,1367
2016,Bowling Green,Mid-American,1272
2016,Buffalo,Mid-American,1080
2016,BYU,FBS Independents,1730
2016,California,Pac-12,1531
2016,Central Michigan,Mid-American,1231
2016,Charlotte,Conference USA,1040
2016,Cincinnati,American Athletic,1309
2016,Clemson,ACC,2215
2016,Colorado,Pac-12,1649
2016,Colorado State,Mountain West,1569
2016,Duke,ACC,1383
2016,East Carolina,American Athletic,1260
2016,Eastern Michigan,Mid-American,1207
2016,Florida,SEC,1748
2016,Florida Atlantic,Conference USA,1071
2016,Florida International,Conference USA,1158
2016,Florida State,ACC,1856
2016,Fresno State,Mountain West,1046
2016,Georgia,SEC,1658
2016,Georgia Southern,Sun Belt,1409
2016,Georgia State,Sun Belt,1177
2016,Georgia Tech,ACC,1634
2016,Hawai'i,Mountain West,1161
2016,Houston,American Athletic,1746
2016,Idaho,Sun Belt,1363
2016,Illinois,Big Ten,1226
2016,Indiana,Big Ten,1516
2016,Iowa,Big Ten,1661
2016,Iowa State,Big 12,1542
2016,James Madison,CAA,1379
2016,Kansas,Big 12,1038
2016,Kansas State,Big 12,1754
2016,Kent State,Mid-American,1147
2016,Kentucky,SEC,1486
2016,Liberty,Big South,1352
2016,Louisiana,Sun Belt,1313
2016,Louisiana Tech,Conference USA,1654
2016,Louisville,ACC,1872
2016,LSU,SEC,1972
2016,Marshall,Conference USA,1200
2016,Maryland,Big Ten,1304
2016,Massachusetts,FBS Independents,1095
2016,Memphis,American Athletic,1707
2016,Miami,ACC,1797
2016,Miami (OH),Mid-American,1312
2016,Michigan,Big Ten,2133
2016,Michigan State,Big Ten,1608
2016,Middle Tennessee,Conference USA,1301
2016,Minnesota,Big Ten,1652
2016,Mississippi State,SEC,1668
2016,Missouri,SEC,1404
2016,Navy,American Athletic,1698
2016,NC State,ACC,1624
2016,Nebraska,Big Ten,1529
2016,Nevada,Mountain West,1359
2016,New Mexico,Mountain West,1444
2016,New Mexico State,Sun Belt,1040
2016,North Carolina,ACC,1749
2016,Northern Illinois,Mid-American,1468
2016,North Texas,Conference USA,1127
2016,Northwestern,Big Ten,1616
2016,Notre Dame,FBS Independents,1725
2016,Ohio,Mid-American,1422
2016,Ohio State,Big Ten,2199
2016,Oklahoma,Big 12,2047
2016,Oklahoma State,Big 12,1841
2016,Old Dominion,Conference USA,1405
2016,Ole Miss,SEC,1600
2016,Oregon,Pac-12,1483
2016,Oregon State,Pac-12,1369
2016,Penn State,Big Ten,1869
2016,Pittsburgh,ACC,1674
2016,Purdue,Big Ten,1162
2016,Rice,Conference USA,1109
2016,Rutgers,Big Ten,1004
2016,San Diego State,Mountain West,1756
2016,San José State,Mountain West,1150
2016,SMU,American Athletic,1274
2016,South Alabama,Sun Belt,1245
2016,South Carolina,SEC,1428
2016,Southern Miss,Conference USA,1401
2016,South Florida,American Athletic,1691
2016,Stanford,Pac-12,1750
2016,Syracuse,ACC,1278
2016,TCU,Big 12,1703
2016,Temple,American Athletic,1739
2016,Tennessee,SEC,1729
2016,Texas,Big 12,1560
2016,Texas A&M,SEC,1727
2016,Texas State,Sun Belt,801
2016,Texas Tech,Big 12,1416
2016,Toledo,Mid-American,1660
2016,Troy,Sun Belt,1461
2016,Tulane,American Athletic,1222
2016,Tulsa,American Athletic,1748
2016,UCF,American Athletic,1419
2016,UCLA,Pac-12,1532
2016,UConn,American Athletic,1102
2016,UL Monroe,Sun Belt,963
2016,UNLV,Mountain West,1121
2016,USC,Pac-12,1948
2016,Utah,Pac-12,1704
2016,Utah State,Mountain West,1329
2016,UTEP,Conference USA,1092
2016,UTSA,Conference USA,1377
2016,Vanderbilt,SEC,1510
2016,Virginia,ACC,1350
2016,Virginia Tech,ACC,1864
2016,Wake Forest,ACC,1463
2016,Washington,Pac-12,2120
2016,Washington State,Pac-12,1812
2016,Western Kentucky,Conference USA,1975
2016,Western Michigan,Mid-American,1842
2016,West Virginia,Big 12,1728
2016,Wisconsin,Big Ten,1918
2016,Wyoming,Mountain West,1393
2017,Air Force,Mountain West,1422
2017,Akron,Mid-American,1165
2017,Alabama,SEC,2229
2017,App State,Sun Belt,1728
2017,Arizona,Pac-12,1519
2017,Arizona State,Pac-12,1497
2017,Arkansas,SEC,1441
2017,Arkansas State,Sun Belt,1596
2017,Army,FBS Independents,1533
2017,Auburn,SEC,1994
2017,Ball State,Mid-American,857
2017,Baylor,Big 12,1400
2017,Boise State,Mountain West,1722
2017,Boston College,ACC,1665
2017,Bowling Green,Mid-American,1149
2017,Buffalo,Mid-American,1308
2017,BYU,FBS Independents,1342
2017,California,Pac-12,1584
2017,Central Michigan,Mid-American,1386
2017,Charlotte,Conference USA,954
2017,Cincinnati,American Athletic,1184
2017,Clemson,ACC,2111
2017,Coastal Carolina,Sun Belt,1223
2017,Colorado,Pac-12,1492
2017,Colorado State,Mountain West,1543
2017,Duke,ACC,1641
2017,East Carolina,American Athletic,1123
2017,Eastern Michigan,Mid-American,1398
2017,Florida,SEC,1546
2017,Florida Atlantic,Conference USA,1713
2017,Florida International,Conference USA,1315
2017,Florida State,ACC,1722
2017,Fresno State,Mountain West,1529
2017,Georgia,SEC,2054
2017,Georgia Southern,Sun Belt,1296
2017,Georgia State,Sun Belt,1234
2017,Georgia Tech,ACC,1586
2017,Hawai'i,Mountain West,1075
2017,Houston,American Athletic,1610
2017,Idaho,Sun Belt,1206
2017,Illinois,Big Ten,1208
2017,Indiana,Big Ten,1588
2017,Iowa,Big Ten,1818
2017,Iowa State,Big 12,1717
2017,James Madison,CAA,1461
2017,Kansas,Big 12,987
2017,Kansas State,Big 12,1694
2017,Kent State,Mid-American,944
2017,Kentucky,SEC,1430
2017,Liberty,Big South,1416
2017,Louisiana,Sun Belt,1097
2017,Louisiana Tech,Conference USA,1556
2017,Louisville,ACC,1802
2017,LSU,SEC,1854
2017,Marshall,Conference USA,1464
2017,Maryland,Big Ten,1203
2017,Massachusetts,FBS Independents,1317
2017,Memphis,American Athletic,1834
2017,Miami,ACC,1794
2017,Miami (OH),Mid-American,1327
2017,Michigan,Big Ten,1802
2017,Michigan State,Big Ten,1684
2017,Middle Tennessee,Conference USA,1382
2017,Minnesota,Big Ten,1499
2017,Mississippi State,SEC,1788
2017,Missouri,SEC,1668
2017,Navy,American Athletic,1700
2017,NC State,ACC,1698
2017,Nebraska,Big Ten,1341
2017,Nevada,Mountain West,1336
2017,New Mexico,Mountain West,1158
2017,New Mexico State,Sun Belt,1259
2017,North Carolina,ACC,1442
2017,Northern Illinois,Mid-American,1522
2017,North Texas,Conference USA,1253
2017,Northwestern,Big Ten,1786
2017,Notre Dame,FBS Independents,1835
2017,Ohio,Mid-American,1659
2017,Ohio State,Big Ten,2123
2017,Oklahoma,Big 12,2063
